Run,TG,Co,Tv,GE
1,1,0,0,0
2,1,0,0,1
3,1,0,0,2
4,1,0,0,3
5,1,0,0,4
6,1,0,0,5
7,1,0,0,6
8,1,0,1,0
9,1,0,1,1
10,1,0,1,2
11,1,0,1,3
12,1,0,1,4
13,1,0,1,5
14,1,0,1,6
15,1,0,2,0
16,1,0,2,1
17,1,0,2,2
18,1,0,2,3
19,1,0,2,4
20,1,0,2,5
21,1,0,2,6
22,1,1,0,0
23,1,1,0,1
24,1,1,0,2
25,1,1,0,3
26,1,1,0,4
27,1,1,0,5
28,1,1,0,6
29,1,1,1,0
30,1,1,1,1
31,1,1,1,2
32,1,1,1,3
33,1,1,1,4
34,1,1,1,5
35,1,1,1,6
36,1,1,2,0
37,1,1,2,1
38,1,1,2,2
39,1,1,2,3
40,1,1,2,4
41,1,1,2,5
42,1,1,2,6
43,1,2,0,0
44,1,2,0,1
45,1,2,0,2
46,1,2,0,3
47,1,2,0,4
48,1,2,0,5
49,1,2,0,6
50,1,2,1,0
51,1,2,1,1
52,1,2,1,2
53,1,2,1,3
54,1,2,1,4
55,1,2,1,5
56,1,2,1,6
57,1,2,2,0
58,1,2,2,1
59,1,2,2,2
60,1,2,2,3
61,1,2,2,4
62,1,2,2,5
63,1,2,2,6
64,1,3,0,0
65,1,3,0,1
66,1,3,0,2
67,1,3,0,3
68,1,3,0,4
69,1,3,0,5
70,1,3,0,6
71,1,3,1,0
72,1,3,1,1
73,1,3,1,2
74,1,3,1,3
75,1,3,1,4
76,1,3,1,5
77,1,3,1,6
78,1,3,2,0
79,1,3,2,1
80,1,3,2,2
81,1,3,2,3
82,1,3,2,4
83,1,3,2,5
84,1,3,2,6
85,1,4,0,0
86,1,4,0,1
87,1,4,0,2
88,1,4,0,3
89,1,4,0,4
90,1,4,0,5
91,1,4,0,6
92,1,4,1,0
93,1,4,1,1
94,1,4,1,2
95,1,4,1,3
96,1,4,1,4
97,1,4,1,5
98,1,4,1,6
99,1,4,2,0
100,1,4,2,1
101,1,4,2,2
102,1,4,2,3
103,1,4,2,4
104,1,4,2,5
105,1,4,2,6
106,2,0,0,0
107,2,0,0,1
108,2,0,0,2
109,2,0,0,3
110,2,0,0,4
111,2,0,0,5
112,2,0,0,6
113,2,0,1,0
114,2,0,1,1
115,2,0,1,2
116,2,0,1,3
117,2,0,1,4
118,2,0,1,5
119,2,0,1,6
120,2,0,2,0
121,2,0,2,1
122,2,0,2,2
123,2,0,2,3
124,2,0,2,4
125,2,0,2,5
126,2,0,2,6
127,2,1,0,0
128,2,1,0,1
129,2,1,0,2
130,2,1,0,3
131,2,1,0,4
132,2,1,0,5
133,2,1,0,6
134,2,1,1,0
135,2,1,1,1
136,2,1,1,2
137,2,1,1,3
138,2,1,1,4
139,2,1,1,5
140,2,1,1,6
141,2,1,2,0
142,2,1,2,1
143,2,1,2,2
144,2,1,2,3
145,2,1,2,4
146,2,1,2,5
147,2,1,2,6
148,2,2,0,0
149,2,2,0,1
150,2,2,0,2
151,2,2,0,3
152,2,2,0,4
153,2,2,0,5
154,2,2,0,6
155,2,2,1,0
156,2,2,1,1
157,2,2,1,2
158,2,2,1,3
159,2,2,1,4
160,2,2,1,5
161,2,2,1,6
162,2,2,2,0
163,2,2,2,1
164,2,2,2,2
165,2,2,2,3
166,2,2,2,4
167,2,2,2,5
168,2,2,2,6
169,2,3,0,0
170,2,3,0,1
171,2,3,0,2
172,2,3,0,3
173,2,3,0,4
174,2,3,0,5
175,2,3,0,6
176,2,3,1,0
177,2,3,1,1
178,2,3,1,2
179,2,3,1,3
180,2,3,1,4
181,2,3,1,5
182,2,3,1,6
183,2,3,2,0
184,2,3,2,1
185,2,3,2,2
186,2,3,2,3
187,2,3,2,4
188,2,3,2,5
189,2,3,2,6
190,2,4,0,0
191,2,4,0,1
192,2,4,0,2
193,2,4,0,3
194,2,4,0,4
195,2,4,0,5
196,2,4,0,6
197,2,4,1,0
198,2,4,1,1
199,2,4,1,2
200,2,4,1,3
201,2,4,1,4
202,2,4,1,5
203,2,4,1,6
204,2,4,2,0
205,2,4,2,1
206,2,4,2,2
207,2,4,2,3
208,2,4,2,4
209,2,4,2,5
210,2,4,2,6
211,3,0,0,0
212,3,0,0,1
213,3,0,0,2
214,3,0,0,3
215,3,0,0,4
216,3,0,0,5
217,3,0,0,6
218,3,0,1,0
219,3,0,1,1
220,3,0,1,2
221,3,0,1,3
222,3,0,1,4
223,3,0,1,5
224,3,0,1,6
225,3,0,2,0
226,3,0,2,1
227,3,0,2,2
228,3,0,2,3
229,3,0,2,4
230,3,0,2,5
231,3,0,2,6
232,3,1,0,0
233,3,1,0,1
234,3,1,0,2
235,3,1,0,3
236,3,1,0,4
237,3,1,0,5
238,3,1,0,6
239,3,1,1,0
240,3,1,1,1
241,3,1,1,2
242,3,1,1,3
243,3,1,1,4
244,3,1,1,5
245,3,1,1,6
246,3,1,2,0
247,3,1,2,1
248,3,1,2,2
249,3,1,2,3
250,3,1,2,4
251,3,1,2,5
252,3,1,2,6
253,3,2,0,0
254,3,2,0,1
255,3,2,0,2
256,3,2,0,3
257,3,2,0,4
258,3,2,0,5
259,3,2,0,6
260,3,2,1,0
261,3,2,1,1
262,3,2,1,2
263,3,2,1,3
264,3,2,1,4
265,3,2,1,5
266,3,2,1,6
267,3,2,2,0
268,3,2,2,1
269,3,2,2,2
270,3,2,2,3
271,3,2,2,4
272,3,2,2,5
273,3,2,2,6
274,3,3,0,0
275,3,3,0,1
276,3,3,0,2
277,3,3,0,3
278,3,3,0,4
279,3,3,0,5
280,3,3,0,6
281,3,3,1,0
282,3,3,1,1
283,3,3,1,2
284,3,3,1,3
285,3,3,1,4
286,3,3,1,5
287,3,3,1,6
288,3,3,2,0
289,3,3,2,1
290,3,3,2,2
291,3,3,2,3
292,3,3,2,4
293,3,3,2,5
294,3,3,2,6
295,3,4,0,0
296,3,4,0,1
297,3,4,0,2
298,3,4,0,3
299,3,4,0,4
300,3,4,0,5
301,3,4,0,6
302,3,4,1,0
303,3,4,1,1
304,3,4,1,2
305,3,4,1,3
306,3,4,1,4
307,3,4,1,5
308,3,4,1,6
309,3,4,2,0
310,3,4,2,1
311,3,4,2,2
312,3,4,2,3
313,3,4,2,4
314,3,4,2,5
315,3,4,2,6
316,4,0,0,0
317,4,0,0,1
318,4,0,0,2
319,4,0,0,3
320,4,0,0,4
321,4,0,0,5
322,4,0,0,6
323,4,0,1,0
324,4,0,1,1
325,4,0,1,2
326,4,0,1,3
327,4,0,1,4
328,4,0,1,5
329,4,0,1,6
330,4,0,2,0
331,4,0,2,1
332,4,0,2,2
333,4,0,2,3
334,4,0,2,4
335,4,0,2,5
336,4,0,2,6
337,4,1,0,0
338,4,1,0,1
339,4,1,0,2
340,4,1,0,3
341,4,1,0,4
342,4,1,0,5
343,4,1,0,6
344,4,1,1,0
345,4,1,1,1
346,4,1,1,2
347,4,1,1,3
348,4,1,1,4
349,4,1,1,5
350,4,1,1,6
351,4,1,2,0
352,4,1,2,1
353,4,1,2,2
354,4,1,2,3
355,4,1,2,4
356,4,1,2,5
357,4,1,2,6
358,4,2,0,0
359,4,2,0,1
360,4,2,0,2
361,4,2,0,3
362,4,2,0,4
363,4,2,0,5
364,4,2,0,6
365,4,2,1,0
366,4,2,1,1
367,4,2,1,2
368,4,2,1,3
369,4,2,1,4
370,4,2,1,5
371,4,2,1,6
372,4,2,2,0
373,4,2,2,1
374,4,2,2,2
375,4,2,2,3
376,4,2,2,4
377,4,2,2,5
378,4,2,2,6
379,4,3,0,0
380,4,3,0,1
381,4,3,0,2
382,4,3,0,3
383,4,3,0,4
384,4,3,0,5
385,4,3,0,6
386,4,3,1,0
387,4,3,1,1
388,4,3,1,2
389,4,3,1,3
390,4,3,1,4
391,4,3,1,5
392,4,3,1,6
393,4,3,2,0
394,4,3,2,1
395,4,3,2,2
396,4,3,2,3
397,4,3,2,4
398,4,3,2,5
399,4,3,2,6
400,4,4,0,0
401,4,4,0,1
402,4,4,0,2
403,4,4,0,3
404,4,4,0,4
405,4,4,0,5
406,4,4,0,6
407,4,4,1,0
408,4,4,1,1
409,4,4,1,2
410,4,4,1,3
411,4,4,1,4
412,4,4,1,5
413,4,4,1,6
414,4,4,2,0
415,4,4,2,1
416,4,4,2,2
417,4,4,2,3
418,4,4,2,4
419,4,4,2,5
420,4,4,2,6
